"Source:","C:\Users\ardil\OneDrive\Minu\Elektroonika\PCB\line_sensor_encoder\line_sensor_encoder.kicad_sch"
"Date:","13.11.2022 22:07:18"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","45"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","AVAILABILITY","DESCRIPTION","MF","MP","PACKAGE","PRICE"
"","","C1","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"","","C2","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"","","C3","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"","","D1","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","",""
"","","D2","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","",""
"","","D3","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","",""
"","","D4","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","",""
"","","D5","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","",""
"","","H1","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965","~","","","","","",""
"","","H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965","~","","","","","",""
"","","J1","Conn_02x04_Odd_Even","Connector_Generic:Conn_02x04_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~","","","","","",""
"","","J2","Conn_02x06_Odd_Even","Connector_Generic:Conn_02x06_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical","~","","","","","",""
"","","R1","150","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R2","150","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R3","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R4","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R5","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R6","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R7","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R8","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R9","150","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R10","150","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R11","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R12","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R13","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R14","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R15","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R16","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R17","150","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R18","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R19","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R20","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","RV1","10k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~","","","","","",""
"","","RV2","10k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~","","","","","",""
"","","RV3","10k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~","","","","","",""
"","","RV4","10k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~","","","","","",""
"","","RV5","10k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~","","","","","",""
"","","U1","TCRT5000L","TCRT5000L:TCRT5000L","TCRT5000L:XDCR_TCRT5000L","","Good","TCRT5000 Series 940 nm 100 mA 60 mA Transistor Output Reflective Optical Sensor","Vishay Semiconductor","TCRT5000L","PCB Mount Vishay","0.60 USD"
"","","U2","LM393","Comparator:LM393","Package_SO:SOP-8_5.28x5.23mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm393.pdf","","","","","",""
"","","U3","TCRT5000L","TCRT5000L:TCRT5000L","TCRT5000L:XDCR_TCRT5000L","","Good","TCRT5000 Series 940 nm 100 mA 60 mA Transistor Output Reflective Optical Sensor","Vishay Semiconductor","TCRT5000L","PCB Mount Vishay","0.60 USD"
"","","U4","TCRT5000L","TCRT5000L:TCRT5000L","TCRT5000L:XDCR_TCRT5000L","","Good","TCRT5000 Series 940 nm 100 mA 60 mA Transistor Output Reflective Optical Sensor","Vishay Semiconductor","TCRT5000L","PCB Mount Vishay","0.60 USD"
"","","U5","TCRT5000L","TCRT5000L:TCRT5000L","TCRT5000L:XDCR_TCRT5000L","","Good","TCRT5000 Series 940 nm 100 mA 60 mA Transistor Output Reflective Optical Sensor","Vishay Semiconductor","TCRT5000L","PCB Mount Vishay","0.60 USD"
"","","U6","LM393","Comparator:LM393","Package_SO:SOP-8_5.28x5.23mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm393.pdf","","","","","",""
"","","U7","TCRT5000L","TCRT5000L:TCRT5000L","TCRT5000L:XDCR_TCRT5000L","","Good","TCRT5000 Series 940 nm 100 mA 60 mA Transistor Output Reflective Optical Sensor","Vishay Semiconductor","TCRT5000L","PCB Mount Vishay","0.60 USD"
"","","U8","LM393","Comparator:LM393","Package_SO:SOP-8_5.28x5.23mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm393.pdf","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","AVAILABILITY","DESCRIPTION","MF","MP","PACKAGE","PRICE"
"1","3","C1, C2, C3","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"2","5","D1, D2, D3, D4, D5","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","",""
"3","2","H1, H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965","~","","","","","",""
"4","1","J1","Conn_02x04_Odd_Even","Connector_Generic:Conn_02x04_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~","","","","","",""
"5","1","J2","Conn_02x06_Odd_Even","Connector_Generic:Conn_02x06_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical","~","","","","","",""
"6","5","R1, R2, R9, R10, R17","150","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"7","10","R3, R4, R5, R7, R11, R12, R13, R14, R18, R19","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"8","5","R6, R8, R15, R16, R20","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"9","5","RV1, RV2, RV3, RV4, RV5","10k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~","","","","","",""
"10","5","U1, U3, U4, U5, U7","TCRT5000L","TCRT5000L:TCRT5000L","TCRT5000L:XDCR_TCRT5000L","","Good","TCRT5000 Series 940 nm 100 mA 60 mA Transistor Output Reflective Optical Sensor","Vishay Semiconductor","TCRT5000L","PCB Mount Vishay","0.60 USD"
"11","3","U2, U6, U8","LM393","Comparator:LM393","Package_SO:SOP-8_5.28x5.23mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm393.pdf","","","","","",""
